index,actor,detail
2529,Michael Palin,Over to the fight you can see the royal cameraman* and behind... Oh* we've just heard she's switched over. She's watching the 'News at Ten'.
2530,John Cleese,Get on parade! Come on! We haven't got all day* have we? Come on* come on* come on.
2531,John Cleese,Hurry up ... right! Now* I know some hospitals where you get the patients lying around in bed. Sleeping* resting* recuperating* convalescing. Well* that's not the way we do things here* right! No* you won't be loafing about in bed wasting the doctors' time. You - you horrible little cripple. What's the matter with you?
2532,Michael Palin,Fractured tibia* sergeant.
2533,John Cleese,Fractured tibia* sergeant'? 'Fractured tibia* sergeant'? Ooh. Proper little mummy's boy* aren't we? Well* I'll tell you something* my fine friend* if you fracture a tibia here you keep quiet about it! Look at him!
2534,John Cleese,He's broken both his arms and he don't go shouting about it* do he? No! 'Cos he's a man - he's a woman* you see* so don't come that broken tibia talk with me. Get on at the double. One* two* three* pick that crutch up* pick that crutch right up.
2535,Michael Palin,Aaargh!
2536,John Cleese,Right* squad* 'shun! Squad* right turn. Squad* by the left* quick limp! Come on* pick 'em up. Get some air in those wounds.
2537,Michael Palin,I've got a triple fracture of the right leg* dislocated collar bone and multiple head injuries* so I do most of the heavy work* like helping the surgeon.
2538,Michael Palin,Well* at the moment we're building him a holiday home.
2539,Michael Palin,Well* I don't know about them. They're not allowed to mix with the patients.
2540,Michael Palin,No* no* the ones that are really ill do sport.
2541,Michael Palin,Yes* one thing patients here dread are the runs.
2542,Michael Palin,But patients are allowed visiting. And this week they're visiting an iron foundry at Swindon* which is crying out for unskilled labour.
2543,Michael Palin,But this isn't the only hospital where doctors' conditions are improving.
2544,John Cleese,Well* here we try to help people who have to link sketches together. We try to stop them saying 'Have you ever wondered what it would be like if' and instead say something like um... er... 'And now the mountaineering sketch'.
2545,Michael Palin,Hello* Agnes... Agnes are you awake? Agnes....
2546,Michael Palin,Agnes...
2547,Michael Palin,Yeah... Agnes* where's Jane?
2548,Michael Palin,Jane* we're going down to raid the tuck shop.
2549,Michael Palin,Yeah* Joyce.
2550,Michael Palin,Cave girls... Here comes Miss Rodgers...
2551,John Cleese,Yes* on your screen tomorrow: 'The Naughtiest Girl in the School' starring the men of the 14th Marine Commandos.
2552,John Cleese,And now it's documentary time* when we look at the momentous last years of the Second World War* and tonight the invasion of Normandy performed by the girls of Oakdene High School* Upper Fifth Science.
2553,John Cleese,Coo-ee. Torpedo bay.
2554,Michael Palin,Yes* she said torpedo bay. She did* she did.
2555,John Cleese,Mrs Lieutenant Edale here. Mrs Midshipman Nesbitt's got one of her headaches again* so I put her in the torpedo tube.
2556,John Cleese,Kettle on.
2557,John Cleese,Standing by to feed the cat.
2558,Michael Palin,I'm afraid we are unable to show you any more of that letter. We continue with a man with a stoat through his head.
2559,Michael Palin,And now ...
2560,Michael Palin,Still no sign of land ... How long is it?
2561,Michael Palin,You stupid git. I meant how long we've been in the lifeboat. You've spoilt the atmosphere now.
2562,Michael Palin,Shut up! We'll have to start again ... Still no sign of land ... how long is it?
2563,Michael Palin,Thirty-three days?
2564,Michael Palin,Shut up!
2565,Michael Palin,Of course you did.
2566,Michael Palin,Look* shut up! SHUT UP! ... Still no sign of land ... how long is it?
2567,Michael Palin,Still no sign of land ... how long is it?
2568,Michael Palin,Shut up* Maudling. We've just got to keep hoping someone will find us.
2569,John Cleese,Not too good ... I ... feel ... so weak.
2570,John Cleese,Listen ... chaps ... there's one last chance. I'm done for* I've got a gammy leg* I'm going fast* I'll never get through ... but ... some of you might ... so you'd better eat me.
2571,Michael Palin,Eat you* sir?
2572,John Cleese,Yes. Eat me.
2573,John Cleese,You don't have to eat the leg* Thompson* there's still plenty of good meat ... look at that arm.
2574,John Cleese,What do you mean?
2575,John Cleese,Why don't you want to eat me?
2576,John Cleese,I see.
2577,Michael Palin,Well ... I ... er ...
2578,Michael Palin,No* no* you go ahead* I won't ...
2579,Michael Palin,No* no* it's not just that ...
2580,Michael Palin,Well* he's not kosher.
2581,Michael Palin,Yes* yes* I see that ... well to be quite frank* I like my meat a little more lean. I'd rather eat Hodges.
2582,John Cleese,I wish you'd all stop bickering and eat me.
2583,Michael Palin,Good thinking* Hodges.
2584,Michael Palin,Waitress!
2585,Michael Palin,We've decided now* we're going to have leg of Hodges ...
2586,John Cleese,Dear Sir* I am glad to hear that your studio audience disapproves of the last skit as strongly as I. As a naval officer I abhor the implication that the Royal Navy is a haven for cannibalism. It is well known that we have the problem relatively under control* and that it is the RAF who now suffer the largest casualties in this area. And what do you think the Argylls ate in Aden. Arabs? Yours etc. Captain B.J. Smethwick in a white wine sauce with shallots* mushrooms and garlic.
2587,John Cleese,Good Morning.
2588,John Cleese,Um* well* I wonder if you can help me. You see* my mother has just died.
2589,John Cleese,What?
2590,John Cleese,Dump her?
2591,John Cleese,Yes!
2592,John Cleese,Well* which do you recommend?
2593,John Cleese,Oh.
2594,John Cleese,I see. Well* she's definitely dead.
2595,John Cleese,She's in this sack.
2596,John Cleese,Yes* yes* she was.
2597,John Cleese,Er* excuse me* um* are you suggesting eating my mother?
2598,John Cleese,Well* I do feel a bit peckish.
2599,John Cleese,Can we have some parsnips?
2600,John Cleese,I really don't think I should.
2601,Michael Palin,I Eric ... um
2602,John Cleese,And now ...
2603,Michael Palin,It's ...
2604,John Cleese,Monty Python's Flying Circus!
2605,John Cleese,Well* I would have had to come in anyway.
2606,John Cleese,Oh thank you.
2607,John Cleese,Oh yes you did.
2608,Michael Palin,No* no* it was very interesting.
2609,Michael Palin,No* no* murder's much more fun.
2610,Michael Palin,Three cheers for the defendant. Hip. Hip.
2611,Michael Palin,Hip. Hip.
2612,John Cleese,Which nobody can deny.
2613,John Cleese,This little-known Icelandic saga* written by an unknown hand in the late thirteenth century* has remained undiscovered until today. Now it comes to your screens for the first time. Fresh from the leaves of Iceland's history. The terrible 'Njorl's Saga'.
2614,Michael Palin,It's not that terrible.
2615,John Cleese,No* I meant terribly violent.
2616,Michael Palin,Oh yeah* yeah.
2617,John Cleese,Well I'm afraid we're having a little trouble getting this very exciting Icelandic saga started. If any of you at home have any ideas about how to get this exciting saga started again here's the address to write to:
2618,Michael Palin,Help the Exciting Icelandic Saga* 18b MacNorten Buildings* Oban.
2619,John Cleese,Hello* well I was the third voice you heard just now. I'm sorry about that terrible mess.
2620,Michael Palin,Well it wasn't all that terrible.
2621,John Cleese,No* no* I meant terrible in the sense of unfortunate.
2622,Michael Palin,Oh.
2623,John Cleese,Anyway* our plea for assistance has been answered by the North Malden Icelandic Saga Society who've given us some very useful information about the saga and so we carry on now with 'Njorl's Saga' with our thanks going* once again* to the North Maiden Icelandic Saga Society.
2624,Michael Palin,Welcome to North Malden.
2625,Michael Palin,Yes* everyone is welcome to North Malden* none more so than the businessmen and investors who shape our society of the future. Here at North Malden...
2626,John Cleese,Hello? Is that the North Malden Icelandic Society?
2627,Michael Palin,Yes* that's right.
2628,John Cleese,About this saga.
2629,Michael Palin,Oh yes* the Icelandic saga.
2630,John Cleese,Yes.
2631,Michael Palin,Good* isn't it.
2632,John Cleese,Well er* I don't know* but you promised us that you would stick to the spirit of the original text.
2633,John Cleese,Well I mean a lot of these things that are happening* well they just don't quite ring true.
2634,Michael Palin,Well* it's a new interpretation really.
2635,John Cleese,Well we don't want a new...
2636,John Cleese,... I mean we wanted the proper thing... I mean just look what's happening now.
2637,Michael Palin,Banners were a very important part of Icelandic lore* Mr Mills.
2638,John Cleese,No* no* I'm sorry I* I can't accept that* it's gone too far* I'm very sorry but we'll have to terminate the agreement. You're just trying to cash in on the BBC's exciting Icelandic saga.
2639,Michael Palin,That's business* Mr Mills.
2640,John Cleese,Well* that's as maybe but it's not the way the BBC works.
2641,Michael Palin,Well I'm sorry you feel that way but er* you know* if you ever want to come to Malden...
2642,John Cleese,Case dismissed* m'lud?
2643,John Cleese,Thank you* m'lud.
2644,John Cleese,Call Erik Njorl* son of Frothgar* brother of Hangnor...
2645,John Cleese,.
2646,John Cleese,Call Police Constable Pan-Am.
2647,John Cleese,Now* you are Police Constable Pan-Am?
2648,Michael Palin,No* I shall deny that to the last breath in my body.
2649,Michael Palin,Oh. Sorry* yes.
2650,John Cleese,Police constable* do you recognize the defendant?
2651,Michael Palin,No. Never seen him before in my life.
2652,John Cleese,Constable* will you please tell the court in your own words what happened?
2653,Michael Palin,Oh yes!
2654,Michael Palin,No* anyway I clearly saw the deceased...
2655,Michael Palin,Defendant! Sorry. Sorry* super. I clearly saw the defendant ... doing whatever he's accused of...Red-handed. When kicked... he said: 'It's a fair ... cop* I done it all ... Right... no doubt about... that'. Then* bound as he was to the chair* he assaulted myself and three other constables while bouncing around the cell. The end.
2656,Michael Palin,Thank you* thank you... and for my next piece of evidence...
2657,John Cleese,Excellent evidence* constable
2658,John Cleese,And now the Stock Market Report by Exchange Telegraph.
2659,John Cleese,Hello* Mrs Conclusion.
2660,John Cleese,Busy! I've just spent four hours burying the cat.
2661,John Cleese,Yes! It wouldn't keep still* wriggling about howling its head off.
2662,John Cleese,Well* no* no* but it's not at all a well cat so as we were going away for a fortnight's holiday* I thought I'd better bury it just to be on the safe side.
2663,John Cleese,Yes.
2664,John Cleese,Really? Is it very old?
2665,John Cleese,Tell me* how do they put budgies down then?
2666,John Cleese,Just there!
2667,John Cleese,Well well well. 'Course* Mrs Essence flushed hers down the loo.
2668,John Cleese,It's a funny thing freedom. I mean how can any of us be really free when we still have personal possessions.
2669,John Cleese,No* you can't. You can't. Well this is the whole crux of Jean-Paul Sartre's 'Roads to Freedom'.
2670,John Cleese,What does he know?
2671,John Cleese,Sixty new pence for a bottle of Maltese Claret. Well I personally think Jean-Paul's masterwork is an allegory of man's search for commitment.
2672,John Cleese,Yes it is.
2673,John Cleese,Tis.
2674,John Cleese,All right. We can soon settle this. We'll ask him.
2675,John Cleese,Yes* we met on holiday last year.
2676,John Cleese,Yes. He was staying there with his wife and Mr and Mr Genet. Oh* I did get on well with Madam S. We were like that.
2677,John Cleese,Well* you know* a bit moody. Yes* he didn't join in the fun much. Just sat there thinking. Still* Mr Rotter caught him a few times with the whoopee cushion.
2678,John Cleese,Le Capitalisme et La Bourgeoisie ils sont la même chose... Oooh we did laugh.
2679,John Cleese,Yes* all right. She said they were in the book.
2680,John Cleese,Where's the Paris telephone directory?
2681,John Cleese,No* no* that's Budapest. Oh here we are Sartre ... Sartre.
2682,John Cleese,Oh* thank you* Mrs Varley.
2683,John Cleese,Well he's out distributing pamphlets to the masses but he'll be in at six.
2684,John Cleese,Oh look* Paris!
2685,John Cleese,Well it's none of my business but we had the same trouble with one of our Icelandic sagas. These people are terribly keen but they do rather tend to take over. I think I'd stick to Caribbean Islands if I were you.
2686,John Cleese,Fine... and now back to the saga.
2687,John Cleese,Here - this is not Paris* this is Iceland.
2688,John Cleese,Oh* here we are* Number 25 ....
2689,John Cleese,Flat 1* Duke and Duchess of Windsor* Flat 2* Yves Montand* Flat 3* Jacques Cousteau* Flat 4* Jean Genet and Friend* Flat 5* Maurice Laroux...
2690,John Cleese,Never heard of him. Flat 6* Marcel Marceau* 'Walking Against the Wind' Ltd. Flat 7* Indira Gandhi?
2691,John Cleese,Yes* Flat 8* Jean-Paul and Betty-Muriel Sartre.
2692,John Cleese,C'est nous* Betty-Muriel* excusez que nous sorerues en retard.
2693,John Cleese,Oui* merci.
2694,Michael Palin,Oh* rubbish.
2695,Michael Palin,Bonjour.
2696,Michael Palin,Oh yes. Good day.
2697,Michael Palin,Hello* love!
2698,John Cleese,Hello! Oh this is Mrs Conclusion from No. 46.
2699,Michael Palin,Nice to meet you* dear.
2700,John Cleese,How's the old man* then?
2701,Michael Palin,Oh* don't ask. He's in one of his bleeding moods. 'The bourgeoisie this is the bourgeoisie that' - he's like a little child sometimes. I was only telling the Rainiers the other day - course he's always rude to them* only classy friends we've got - I was saying solidarity with the masses I said... pie in the sky! Oooh! You're not a Marxist are you Mrs Conclusion?
2702,Michael Palin,Oh good. I mean* look at this place! I'm at my wits end. Revolutionary leaflets everywhere. One of these days I'll revolutionary leaflets him. If it wasn't for the goat you couldn't get in here for propaganda.
2703,John Cleese,Oh very well. Can we pop in and have a word with him?
2704,Michael Palin,Yes come along.
2705,John Cleese,Thank you.
2706,Michael Palin,But be careful. He's had a few. Mind you he's as good as gold in the morning* I've got to hand it to him* but come lunchtime it's a bottle of vin ordinaire - six glasses and he's ready to agitate.
2707,John Cleese,Coo-ee! Jean-Paul? Jean-Paul! It's only us. Oh pardon ... c'est même nous...
2708,John Cleese,Jean-Paul. Your famous trilogy 'Rues à Liberté* is it an allegory of man's search for commitment?
2709,John Cleese,I told you so.
2710,Michael Palin,They live in a sunshine paradise* a Caribbean dream* where only reality is missing.
2711,John Cleese,An island inhabited entirely by ex-international interviewers in pursuit of the impossible dream.
2712,Michael Palin,The light-weight suits.
2713,John Cleese,The practised voice of the seasoned campaigner.
2714,Michael Palin,You can't teach an old dog new tricks and so
2715,Michael Palin,you find them...
2716,John Cleese,... sipping Martinis...
2717,Michael Palin,Father Pierre* why did you stay on in this colonial Campari-land where the clink of glasses mingles with the murmur of a million mosquitoes* where waterfalls of whisky wash away the worries of a world-weary Whicker* where gin and tonic jingle in a gyroscopic jubilee of something beginning with J - Father Pierre* why did you stay on here?
2718,John Cleese,Well there you have it* a crumbling...
2719,Michael Palin,... like the music of repeat fees...
2720,John Cleese,... from Whicker Island...
2721,Michael Palin,... well and...
2722,John Cleese,. .. voy...
2723,Michael Palin,I'm convinced.
2724,Michael Palin,But how to prove it.
2725,Michael Palin,7.30 Fed cat.
2726,John Cleese,And now...
2727,Michael Palin,It's...
2728,John Cleese,Monty Python's Flying Circus.
2729,Michael Palin,Knock* enter and approach.
2730,Michael Palin,Right* it's come to my notice that certain boys have been running a unit-trust linked assurance scheme with fringe benefits and full cash-in endowment facilities. Apparently small investors were attracted by the wide-ranging portfolio and that in the first week the limited offer was oversubscribed eight times.
2731,Michael Palin,Shut up* Stebbins! I haven't finished. Oh* by the way* congratulations on winning the Italian Grand Prix at Monza.
2732,Michael Palin,Shut up. Now then* this sort of extra-curricular capitalist expansion has got to stop. I made it quite clear when Potter tried to go public last term* that these massive stock exchange deals must not happen in Big School. Is that clear* Balderston?
2733,Michael Palin,Oh* and Balderston* next time you do a 'Panorama' Report on the Black Ghettos you
2734,Michael Palin,get an exeat form from Mr Dibley.
2735,Michael Palin,Shut up* and stop slouching. Now* the reason I called you in here today* is that my wife is having a little trouble with her*.. er... with her waterworks* and I think she needs a bit of attention. Now* which one of you is the surgeon?
2736,Michael Palin,Ah! Tidwell. Good. Well* I want you to come along and have a look at the wife.
2737,Michael Palin,Is this true* Stebbins? Are you a gynaecologist?
2738,Michael Palin,Right* just the man. How much do you charge?
2739,Michael Palin,Excellent. Right. I want you to go along to see the wife. Give her a full examination* and let me know the results by the end of break. And don't pick your nose!
2740,John Cleese,Hello.
2741,John Cleese,Well* last week we showed you how to become a gynaecologist. And this week on 'How to do it' we're going to show you how to play the flute* how to split an atom* how to construct a box girder bridge* how to irrigate the Sahara Desert and make vast new areas of land cultivatable* but first* here's Jackie to tell you all how to rid the world of all known diseases.
2742,John Cleese,Hello* Jackie.
2743,John Cleese,Thanks* Jackie. Great idea. How to play the flute.
2744,John Cleese,Well here we are. You blow there and you move your fingers up and down here.
2745,John Cleese,Bye.
2746,Michael Palin,Oh* yes* he's such a clever little boy* just like his father.
2747,Michael Palin,Oh yes* spitting image.
2748,John Cleese,Good afternoon* mother. Good afternoon* Mrs Nigger-Baiter.
2749,Michael Palin,Ooh* he's walking already!
2750,Michael Palin,Hello* coochy coo...
2751,Michael Palin,Oochy coochy.
2752,Michael Palin,Look at him laughing... ooh* he's a chirpy little fellow. Isn't he a chirpy little fellow ... eh? eh? Does he talk Does he talk* eh?
2753,John Cleese,Of course I talk* I'm Minister for Overseas Development.
2754,Michael Palin,Ooh* he's a clever little boy - he's a clever little boy.
2755,Michael Palin,Do you like your rattle? Do you like your rattle? Look at his little eyes following it ... look at his iggy piggy piggy little eyeballs eh... oo... he's got a tubby tum-tum. Oh* he's got a tubby tum-tum.
2756,John Cleese,Mother* could I have a quick cup of tea please. I have an important statement on Rhodesia to make in the Commons at six.
2757,John Cleese,Good thing* too.
2758,John Cleese,Oh* mother* don't be so sentimental. Things explode every day.
2759,John Cleese,Peter Ilyich Tschaikowsky was born in 1840 in a Ken Russell film just outside St Petersburg. His father
2760,John Cleese,. In 1863* however* Tschaikowsky was sent to Moscow to study the piano and* when he'd finished that* the living room. Maurice takes up the story.
2761,Michael Palin,Well* guess what* the very next thing he did was to go to this extraordinary but
2762,Michael Palin,duckety-poos semi-Mondrian house in Robin Russia. Harry here Tammy Tschaikowsky wrote some of the most Sammy super symphonies you've ever Henry heard in the whole of your Lily life.
2763,Michael Palin,She was such a good composer that everybody* but everybody* wanted to know* and quite right too* because she wrote some lovely bits* such as Sally Sleeping Beauty* Patsy Pathétique* Adrian 1812 and lots of Conny concerti for Vera violin and Peter Piano Fanny Forte.
2764,John Cleese,But what do we really know of this tortured ponce?
2765,John Cleese,Maurice.
2766,Michael Palin,Me. Well* poor pet* she was like a lost lamb in an abattoir. Eventually she Dickie died of Colin Cholera in St Patsy Petersburg* in Gertie great Percy pain.
2767,Michael Palin,Terrific! Thrill to Thomas a Becket's Kierkegaardian moment of choice while making your physique tighter* firmer* neater.
2768,Michael Palin,Renew the obedience you have violated.
2769,John Cleese,Lose inches off your hips* thighs* buttocks and abdomen.
2770,Michael Palin,This was Kevin Francis before last season's 'Trim-Jean Play of the Month' production of 'The Seagull' by Anton Chekhov and the Sauna Belt Trim-Jean Company Limited. See Kevin has slipped into his slenderizing garment and is inflating it with the handy little pump provided. Three acts and a few special torso exercises later* Kevin* as Trigorin* the failed writer of sentimental romances* has lost over thirty-three inches.
2771,Michael Palin,Wow. What a difference. That Anton Chekhov can certainly write.
2772,Michael Palin,Terrific.
2773,Michael Palin,Enjoy the 'The Trim Gentlemen of Verona' and 'Long Day's Journey into Night' while inches melt away.
2774,John Cleese,And Red Indians!
2775,John Cleese,It was the only thing left.
2776,Michael Palin,Yes - that's a Flemish merchant of the fifteenth or sixteenth centuries...
2777,John Cleese,Yes* Gomez?
2778,John Cleese,You see the BBC has to pay an actor twenty guineas if he speaks and it makes a bit of a hole in the budget...
2779,John Cleese,You fool Gomez - that's twenty-eight guineas ...
2780,John Cleese,Are you supposed to speak?
2781,John Cleese,But you've just spoken!
2782,John Cleese,You fool* that's* that's fifty-six guineas before we've even started;
2783,John Cleese,What did he do that for?
2784,John Cleese,Look! We can't afford it! The BBC are short of money as it is.
2785,John Cleese,Stop! Stop this adaptation of 'Puss-in-Boots'! This is the Police Department of the State of Venezuela!
2786,John Cleese,Oh* yes it is!
2787,John Cleese,Shut up! Shut up!
2788,John Cleese,Now I'm going to ask you some questions* and remember* if you do not give me correct answers* we have ways of making you answer!
2789,John Cleese,Shut up! Now* what ship are you from?
2790,John Cleese,Go on!
2791,Michael Palin,What's this about doing the 'Horse of the Year Show' in here tonight?
2792,John Cleese,I'm sorry* Mrs Kelly. We don't know* I'm afraid - this is drama.
2793,Michael Palin,Mr Fox told me* before he went down to the pub* that they were doing 'Horse of the Year Show' in here tonight at 9.10.
2794,John Cleese,This is BBC 2
2795,Michael Palin,Well* I'm not having Harvey Smith jumping over my binette.
2796,John Cleese,All right!!
2797,Michael Palin,Right! That's it!
2798,Michael Palin,Come on now* out! All of you - get out of my kitchen* all of you - come on! Harvey Smith* get out of here!
2799,Michael Palin,That's what
2800,Michael Palin,think* Mr Fox!
2801,Michael Palin,Shove off! Go and find yourself another flat! Get out!
2802,Michael Palin,Hello* good evening* welcome. It's...
2803,Michael Palin,It's...
2804,John Cleese,Monty Python's Flying Circuses.
2805,Michael Palin,I bling a dispatch flom Prymouth.
2806,Michael Palin,Flow Sil Flancis Dlake.
2807,Michael Palin,Dlake has sighted the Spanish Freet* youl Majesty.
2808,Michael Palin,One hundled and thilty-six men of wal.
2809,Michael Palin,He has oldeled the whore freet into the Blitish Channer.
2810,John Cleese,Not so fast* Yakomoto.
2811,John Cleese,Allow me to introduce myself. I am Inspector Leopard of Scotland Yard* Special Fraud Film Director Squad.
2812,John Cleese,The same. Only more violent.
2813,John Cleese,I haven't got time to go chasing after him* there's violence to be done.
2814,Michael Palin,Yus?
2815,Michael Palin,Suffragan or diocesan?
2816,Michael Palin,It's tatooed on the back of their neck. Ere! Is that rat tart?
2817,Michael Palin,Disgusting! Right! The hunt is on.
2818,Michael Palin,Oh Lord we beseech thee tell us who croaked Leicester.
2819,Michael Palin,Agreed.
2820,Michael Palin,Right. And now* I'd like to conclude this arrest with a hymn.
2821,John Cleese,What a simply super little place!
2822,Michael Palin,Hello* Mr Spare-Buttons-Supplied-With-The-Shirt. Nice to see you again.
2823,Michael Palin,May I recommend the alligator purees.
2824,Michael Palin,Now then* have you decided?
2825,Michael Palin,Right* so that's two avocado* one quiche ...
2826,Michael Palin,So* that's two avocado* one quiche ...
2827,Michael Palin,Right.
2828,Michael Palin,And to follow?
2829,John Cleese,And one scampi desirée.
2830,Michael Palin,Right on. Two chicken! One scampi! One boeuf with green salad!
2831,Michael Palin,There may be ... a little delay.
2832,Michael Palin,Yes* sir. Yes* we'll try.
2833,John Cleese,Yes* I thought most places took Barclaycard nowadays.
2834,John Cleese,The London Brick Company?
2835,John Cleese,The forbidden plateau of Roiurama* the Lost World* thrown up by mighty earth movements thousands of millions of years ago* where strange primeval creatures defying evolution* lurk in the dark* impenetrable forests* cut off forever from the outside world.
2836,Michael Palin,What page please?
2837,Michael Palin,What page in the script?
2838,Michael Palin,Come on you dogs* we have time to lose* this has gone too far.
2839,Michael Palin,Er ... um ... er...
2840,Michael Palin,The Lost World of Roiurama'.
2841,Michael Palin,Oh* sorry. 'Where were they going* sir'?
2842,Michael Palin,Yes sir* we've got a telegram.
2843,Michael Palin,Reads it. Expedition superb. Weather excellent. Everything wonderful.
2844,Michael Palin,For God's sake be careful...
2845,Michael Palin,For God's sake be careful* sir.
2846,John Cleese,Goodbye Betty* Goodbye Farquarson. Goodbye Brian. It's been a great expedition...
2847,John Cleese,Great expedition ...
2848,John Cleese,Wait a moment!
2849,John Cleese,If we're on film* there must be someone filming us.
2850,John Cleese,What a stroke of luck!
2851,John Cleese,Wait a minute!
2852,John Cleese,If this is the crew who were filming us . .. who's filming us now? Look!
2853,Michael Palin,I'd like to have an argument please.
2854,Michael Palin,No* this is my first time.
2855,Michael Palin,Well* what would be the cost?
2856,Michael Palin,Well* I think it's probably best if I start with the one and see how it goes from there. OK?
2857,Michael Palin,Thank you.
2858,Michael Palin,Well I was told outside ...
2859,Michael Palin,What!
2860,Michael Palin,Look! I came here for an argument.
2861,Michael Palin,Oh I see* that explains it.
2862,Michael Palin,I see - sorry.
2863,John Cleese,Come in.
2864,Michael Palin,Is this the right room for an argument?
2865,John Cleese,I've told you once.
2866,Michael Palin,No you haven't.
2867,John Cleese,Yes I have.
2868,Michael Palin,When?
2869,John Cleese,Just now!
2870,Michael Palin,No you didn't.
2871,John Cleese,Yes I did!
2872,Michael Palin,Didn't.
2873,John Cleese,Did.
2874,John Cleese,I'm telling you I did!
2875,Michael Palin,You did not!
2876,John Cleese,I'm sorry* is this a five minute argument* or the full half hour?
2877,Michael Palin,Oh ... Just a five-minute one.
2878,John Cleese,Fine
2879,John Cleese,thank you. Anyway* I did.
2880,Michael Palin,You most certainly did not.
2881,John Cleese,Now* let's get one thing quite clear. I most definitely told you!
2882,Michael Palin,You did not.
2883,John Cleese,Yes I did.
2884,John Cleese,Yes I did!!
2885,Michael Palin,Look* this isn't an argument.
2886,John Cleese,Yes it is.
2887,Michael Palin,No it isn't* it's just contradiction.
2888,John Cleese,No it isn't.
2889,Michael Palin,Yes it is.
2890,John Cleese,It is not.
2891,Michael Palin,It is. You just contradicted me.
2892,John Cleese,No I didn't.
2893,Michael Palin,Ooh* you did!
2894,John Cleese,No* no* no* no* no.
2895,Michael Palin,You did* just then.
2896,John Cleese,No* nonsense!
2897,Michael Palin,Oh* look this is futile.
2898,Michael Palin,I came here for a good argument.
2899,John Cleese,No you didn't* you came here for an argument.
2900,Michael Palin,Well* an argument's not the same as contradiction.
2901,John Cleese,It can be.
2902,Michael Palin,No it can't. An argument is a connected series of statements to establish a definite proposition.
2903,Michael Palin,Yes it is. It isn't just contradiction.
2904,John Cleese,Look* if I argue with you* I must take up a contrary position.
2905,Michael Palin,But it isn't just saying 'No it isn't'.
2906,Michael Palin,No it isn't* Argument is an intellectual process ... contradiction is just the automatic gainsaying of anything the other person says.
2907,John Cleese,Not at all.
2908,Michael Palin,Now look!
2909,John Cleese,That's it. Good morning.
2910,Michael Palin,But I was just getting interested.
2911,John Cleese,Sorry the five minutes is up.
2912,Michael Palin,That was never five minutes just now!
2913,John Cleese,I'm afraid it was.
2914,Michael Palin,No it wasn't.
2915,John Cleese,I'm sorry* I'm not allowed to argue any more.
2916,Michael Palin,What!?
2917,John Cleese,If you want me to go on arguing you'll have to pay for another five minutes.
2918,Michael Palin,But that was never five minutes just now ... oh Come on!
2919,Michael Palin,This is ridiculous.
2920,John Cleese,I'm very sorry* but I told you I'm not allowed to argue unless you've paid.
2921,Michael Palin,Oh. all right.
2922,Michael Palin,There you are.
2923,John Cleese,Thank you.
2924,Michael Palin,Well?.
2925,John Cleese,Well what?
2926,Michael Palin,That was never five minutes just now.
2927,John Cleese,I told you I'm not allowed to argue unless you've paid!
2928,Michael Palin,I've just paid.
2929,John Cleese,No you didn't.
2930,Michael Palin,I did! I did! I did!
2931,Michael Palin,Look I don't want to argue about that.
2932,John Cleese,Well I'm very sorry but you didn't pay.
2933,Michael Palin,Aha! Well if I didn't pay* why are you arguing ... got you!
2934,John Cleese,No you haven't.
2935,Michael Palin,Yes I have ... if you're arguing I must have paid.
2936,John Cleese,Not necessarily. I could be arguing in my spare time.
2937,Michael Palin,I've had enough of this.
2938,Michael Palin,Oh shut up!
2939,Michael Palin,I want to complain.
2940,Michael Palin,No* I want to complain about ...
2941,Michael Palin,Ooh!
2942,Michael Palin,Waaghh!
2943,Michael Palin,No!
2944,Michael Palin,Waagh!
2945,Michael Palin,Stop hitting me!
2946,Michael Palin,Stop hitting me.
2947,Michael Palin,Yes.
2948,Michael Palin,I came here to complain.
2949,Michael Palin,What a stupid concept.
2950,Michael Palin,Ooooh?
2951,Michael Palin,What for?
2952,Michael Palin,The what?
2953,Michael Palin,WAAAGH!
2954,Michael Palin,Rotten.
2955,John Cleese,Hold it.
2956,Michael Palin,Hello* good evening and welcome to another edition of Blood* Devastation* Death War and Horror* and later on we'll be meeting a man who does gardening.  But first on the show we've got a man who speaks entirely in anagrams.
2957,Michael Palin,Do you enjoy it?
2958,Michael Palin,And what's your name?
2959,Michael Palin,Well* Graham* nice to have you on the show.  Now* where do you come from?
2960,Michael Palin,Cumberland?
2961,Michael Palin,And I believe you're working on an anagram version of Shakespeare?
2962,Michael Palin,The Mating of the Wersh'?  By William Shakespeare?
2963,Michael Palin,And what else?
2964,Michael Palin,Have you done 'Hamlet'?
2965,Michael Palin,And what is your next project?
2966,Michael Palin,I'm sorry?
2967,Michael Palin,Ah* Ring Kichard* yes...  but surely that's not an anagram* that's a spoonerism.
2968,John Cleese,And now...
2969,Michael Palin,It's...
2970,John Cleese,Tony M. Nyphot's Flying Risccu.
2971,John Cleese,Mrs Scab* you have twelve hours to beat the clock.
2972,John Cleese,Correct!
